STATIC_MARGIN,SWEEP_25,ASPECT_RATIO,DRAG_EFFECT
0,0,1.0332871847348457,-0.5853006681514474
0,0,1.1529224101607154,-0.5265033407572381
0,0,1.3136399205441505,-0.483741648106904
0,0,1.5957984710768667,-0.43563474387527823
0,0,2.013092156744717,-0.38752783964365245
0,0,2.6064226810329254,-0.3501113585746102
0,0,3.2815566122915776,-0.3340757238307349
0,0,3.9566905435502306,-0.31804008908685955
0,0,4.442906157828206,-0.3100222717149219
0,0,4.902275326551495,-0.30734966592427604
0,0,5.658941792572081,-0.30467706013363016
0,0,6.2534460964305065,-0.3020044543429843
0,0,6.955968217660866,-0.2966592427616924
0,0,7.496508758201406,-0.2966592427616924
0,0,7.955968217660866,-0.2966592427616924
0,40,1.0197736712213317,-0.5853006681514474
0,40,1.2615722626858465,-0.5425389755011134
0,40,1.5037320170950457,-0.5104677060133629
0,40,1.9348100884849204,-0.47037861915367474
0,40,2.4478721483175816,-0.45701559020044524
0,40,2.8801239992776733,-0.4516703786191536
0,40,3.717961837115512,-0.4516703786191537
0,40,4.420754830554385,-0.4543429844097996
0,40,5.28561969541925,-0.4543429844097996
0,40,6.285709986155419,-0.45701559020044524
0,40,7.231655932101376,-0.4570155902004456
0,40,7.961475952567268,-0.45968819599109134
0,50,1.0368988141816669,-0.6922048997772825
0,50,1.2927526635767173,-0.6654788418708237
0,50,1.5623006079576225,-0.6440979955456569
0,50,1.926714019141638,-0.6307349665924269
0,50,2.3724793836152402,-0.6253897550111358
0,50,2.8860831878649247,-0.6280623608017819
0,50,3.534912417985913,-0.6334075723830733
0,50,4.183561066634562,-0.6334075723830733
0,50,4.913471377836633,-0.638752783964365
0,50,5.481129236140372,-0.6414253897550108
0,50,6.0487870944441084,-0.6440979955456566
0,50,6.859597905254919,-0.6440979955456569
0,50,7.981400108348879,-0.6494432071269486
0,60,1.0068319990368986,-1.0022271714922049
0,60,1.3848492144705897,-0.9915367483296214
0,60,1.7629567206404584,-0.983518930957684
0,60,2.1416962619635225,-0.9942093541202668
0,60,2.520164931078072,-0.9968819599109131
0,60,3.0340396075362666,-1.0075723830734966
0,60,3.76440137241919,-1.0262806236080182
0,60,4.927105278998374,-1.0423162583518932
0,60,5.873502678625172,-1.0556792873051222
0,60,7.035845422259676,-1.0610244988864144
0,60,7.981701077469445,-1.0583518930957683
0.2,0,1.0221019642141318,-0.7906636055537319
0.2,0,1.0596066712826309,-0.7232681024743983
0.2,0,1.217399754625073,-0.6262745526766502
0.2,0,1.3100530835853883,-0.5831784555956405
0.2,0,1.4833035725131518,-0.5293393097919159
0.2,0,1.6707967396717835,-0.49168762071352967
0.2,0,2.2755183848985094,-0.4165081447469112
0.2,0,2.652691228453774,-0.3897452716737724
0.2,0,3.2191793301993368,-0.36578113042527605
0.2,0,3.812938061052199,-0.3472249553587692
0.2,0,4.4340888937477985,-0.33677344120112274
0.2,0,5.244433511898254,-0.32642396414124875
0.2,0,5.947031813709414,-0.3241062643489676
0.2,0,6.649387170049682,-0.31639517510294946
0.2,0,7.352106944596285,-0.3167741700375366
0.2,0,7.973743668233665,-0.31710943478736375
0.2,40,1.0352513878260021,-0.7825808097372531
0.2,40,1.0866343549190383,-0.7232826792026517
0.2,40,1.2854548546578695,-0.6370977734047583
0.2,40,1.3788370200308524,-0.6101818446849592
0.2,40,1.5793581380659116,-0.5617506650632254
0.2,40,1.8476914106628772,-0.5187493167158626
0.2,40,2.036156359705065,-0.502671185452424
0.2,40,2.5481032032360345,-0.4678911118399469
0.2,40,3.034480035955931,-0.46545679822163866
0.2,40,3.7368353922962,-0.4577457089756205
0.2,40,4.277389065024357,-0.4580372435406872
0.2,40,4.845091894124364,-0.4610400495608764
0.2,40,5.791303766869527,-0.46694362450348104
0.2,40,6.575471010531686,-0.4754564338034344
0.2,40,7.197229206904511,-0.47848839328013026
0.2,40,7.994788819649429,-0.4843117962173418
0.2,50,1.0368305333867838,-0.8176378411865439
0.2,50,1.1566330187189484,-0.7772530155606558
0.2,50,1.3166126112993952,-0.7287999708465422
0.2,50,1.5441614129708583,-0.6803833679530622
0.2,50,1.7860743656086377,-0.6508509165117875
0.2,50,2.0690147346428107,-0.632127109070368
0.2,50,2.474065570982593,-0.6242556758135627
0.2,50,2.9336576655369715,-0.6272001749207385
0.2,50,3.663405123719981,-0.627593746583579
0.2,50,4.339218687365623,-0.6306548595167811
0.2,50,5.204468981937005,-0.6392113990014945
0.2,50,5.8533763346816805,-0.6449546299333124
0.2,50,6.448106847418099,-0.647972012681755
0.2,50,7.0968927274273295,-0.6510185488867046
0.2,50,7.475644716543371,-0.6593127072628562
0.2,50,7.975778336552363,-0.6622790714624123
0.2,60,1.035221019642143,-1.0819066360555358
0.2,60,1.2228356595362184,-1.0469516417040183
0.2,60,1.4105717721657385,-1.0146933420793687
0.2,60,1.6255785139025551,-0.9878430086367103
0.2,60,1.8952479865894087,-0.9745053022849008
0.2,60,2.1113479829452277,-0.9719252213840597
0.2,60,2.3549615538792326,-0.9801464961189454
0.2,60,3.112101113904984,-0.988644728690645
0.2,60,4.0587988775919275,-1.0053350825407241
0.2,60,4.843087593989528,-1.0165445865675453
0.2,60,5.789663884941026,-1.0305382456907561
0.2,60,6.95234017224834,-1.0419518239131245
0.2,60,7.547192157720202,-1.0476659013884353
0.2,60,7.993513355927263,-1.0559965015852213
0.4,0,1.0153300277487158,-0.9707865168539351
0.4,0,1.1057938710215476,-0.8817977528089886
0.4,0,1.2513305736250722,-0.8170786516853923
0.4,0,1.3826441644300882,-0.7361797752808981
0.4,0,1.4619175423433237,-0.6984269662921339
0.4,0,1.5672110267024522,-0.6391011235955042
0.4,0,1.7134755644513184,-0.590561797752807
0.4,0,1.8999833204445853,-0.5366292134831441
0.4,0,2.1674627363568817,-0.48269662921348155
0.4,0,2.6508665787199197,-0.4287640449438168
0.4,0,3.431409119167842,-0.3802247191011219
0.4,0,4.4287252270694015,-0.3505617977528064
0.4,0,5.426526558401189,-0.3316853932584265
0.4,0,6.1817768275485605,-0.3208988764044931
0.4,0,7.153436746576901,-0.3208988764044953
0.4,0,7.949658069114015,-0.3208988764044953
0.4,40,1.0282187751141034,-0.9573033707865122
0.4,40,1.106279094451775,-0.8925842696629211
0.4,40,1.2110873553806725,-0.8224719101123585
0.4,40,1.448179653975041,-0.6930337078651672
0.4,40,1.6337169631078563,-0.6175280898876387
0.4,40,1.8467300489772382,-0.5528089887640428
0.4,40,2.1421704650563314,-0.5204494382022449
0.4,40,2.41134816297442,-0.504269662921347
0.4,40,2.734506967505194,-0.4880898876404465
0.4,40,3.27359019848671,-0.47191011235954816
0.4,40,4.21777434077848,-0.4611235955056179
0.4,40,4.865305008415595,-0.4557303370786516
0.4,40,5.459097181155135,-0.45573033707865207
0.4,40,6.0528893538946775,-0.4557303370786525
0.4,40,6.592700420021533,-0.45573033707865296
0.4,40,7.429528878375715,-0.45842696629213453
0.4,40,7.969461250360128,-0.46112359550562054
0.4,50,1.0051100092495728,-1.0435955056179802
0.4,50,1.108947823318018,-0.9519101123595499
0.4,50,1.200624725166418,-0.8898876404494369
0.4,50,1.3857981167265603,-0.8062921348314598
0.4,50,1.6380839739798922,-0.714606741573033
0.4,50,2.026293044625392,-0.6444943820224704
0.4,50,2.60489165870597,-0.6067415730337067
0.4,50,3.144460113117713,-0.6013483146067404
0.4,50,3.684513790959681,-0.6067415730337076
0.4,50,4.359641541190921,-0.6148314606741585
0.4,50,5.277684271179245,-0.6229213483146077
0.4,50,6.303810520250497,-0.633707865168541
0.4,50,7.194741391074924,-0.6391011235955082
0.4,50,7.977710048673979,-0.6444943820224749
0.4,60,1.0119031372727418,-1.1946067415730344
0.4,60,1.0646711853098614,-1.1676404494382036
0.4,60,1.1700859755265434,-1.111011235955056
0.4,60,1.3292392606407972,-1.0489887640449451
0.4,60,1.4891203809003946,-1.0031460674157326
0.4,60,1.622981394714098,-0.978876404494387
0.4,60,1.8109448209980439,-0.9573033707865175
0.4,60,2.0668698539780754,-0.946516853932585
0.4,60,2.2965321687971008,-0.9519101123595508
0.4,60,2.6748851385161263,-0.9626966292134842
0.4,60,2.945033283294668,-0.9680898876404518
0.4,60,3.5665438444858903,-0.984269662921351
0.4,60,3.9445328966322464,-0.9869662921348343
0.4,60,4.727622860088857,-0.9950561797752835
0.4,60,5.348648197849856,-1.000449438202251
0.4,60,5.9966640889171945,-1.0058426966292169
0.4,60,6.779875358231363,-1.0166292134831503
0.4,60,7.320050341930894,-1.0247191011236012
0.4,60,7.981440203793843,-1.0274157303370846
