X_01,Y_01,X_02,Y_02,X_03,Y_03,X_04,Y_04,X_05,Y_05,X_06,Y_06,X_07,Y_07,X_08,Y_08,X_09,Y_09,X_10,Y_10
1.34211,2.00261,0.52632,2.00261,0.18421,2.00261,0,1.87712,0.0,1.67843,0.0,1.48758,0,1.34902,0.02632,1.20261,0,1.11634,0.0,0.99608
1.57895,1.90588,0.63158,1.90327,0.21053,1.90327,0.07895,1.80392,0.10526,1.59739,0.18421,1.39869,0.10526,1.30196,0.81579,1.10327,0.05263,1.09804,1.02632,0.99869
1.92105,1.80392,0.81579,1.80392,0.31579,1.80392,0.15789,1.69935,0.23684,1.49804,0.44737,1.30196,0.47368,1.2,1,1.0902,1.02632,1.04575,1.97368,0.99869
2.36842,1.70196,0.97368,1.73595,0.5,1.70196,0.31579,1.59739,0.5,1.40131,0.97368,1.20784,1,1.14248,2.05263,1.05621,2.02632,1.02745,3.02632,0.99608
2.84211,1.60261,1.05263,1.70196,0.71053,1.6,0.57895,1.50065,0.89474,1.30196,1.13158,1.2,1.84211,1.09542,3,1.04052,3,1.01438,4.02632,0.99608
3,1.57908,1.42105,1.60261,1,1.52418,1.02632,1.38824,1,1.28366,2.02632,1.13464,2.02632,1.0902,4.02632,1.03007,4.02632,1.00392,5.02632,0.99608
3.63158,1.49804,1.9473,1.50065,1.10526,1.50065,0.94737,1.40392,1.81579,1.19739,2.73684,.10065,3,1.06405,5,1.01699,5.02632,1.00131,6.02632,0.99869
4,1.46144,2.02632,1.48758,1.60526,1.40392,1.63158,1.29935,2,1.18431,3,1.0902,4.02632,.05098,6,1.01438,6,1.00131,7.02632,0.99346
4.71053,1.40131,2.71053,1.39869,2.02632,1.35163,2.02632,1.25752,3.02632,1.13464,4.02632,1.0719,5,1.04052,7,1.01438,7,0.99869,8.02632,0.99608
5,1.38562,3,1.37778,2.5,1.29935,2.71053,1.19739,4,1.10327,5,1.05882,5.97368,1.03268,8,1.01176,8,0.99869,9.05263,0.99869
6,1.3281,4,1.29935,3,1.26536,3.02632,1.18431,5,1.08497,6.02632,1.04575,7,1.02484,9.02632,1.00915,10.02632,1.00131,10,0.99869
6.5,1.30458,5,1.24183,3.97368,1.2,4.02632,1.14248,6.02632,1.0719,7.02632,1.04052,8.02632,1.02484,10.,1.01176,,,,
7,1.28366,6,1.20261,5,1.16601,5.02632,1.11634,7.02632,1.06144,8,1.03791,9,1.02222,,,,,,
8.02632,1.24967,7,1.17647,6,1.14248,6.02632,1.09804,8.02632,1.05621,9,1.03529,10.02632,1.02222,,,,,,
9,1.22092,8,1.15817,7.02632,1.12418,7.02632,1.08758,9,1.05098,10.02632,1.03268,,,,,,,,
10,1.20261,9.02632,1.1451,8.02632,1.11111,8,1.07974,10.02632,1.04575,,,,,,,,,,
,,10.02632,1.13987,9,1.09804,9,1.07451,,,,,,,,,,,,
,,,,10,1.09804,10,1.06667,,,,,,,,,,,,