X_1,Y_1,X_0.5,Y_0.5,X_0,Y_0
-0.0025,0.0016,,,,
0.07500000000000007,0.09959183673469407,-0.0025000000000000022,0.0016326530612245094,-0.0025000000000000022,0.0016326530612245094
0.15750000000000003,0.1975510204081633,0.10000000000000003,0.13877551020408174,0.12500000000000006,0.1975510204081633
0.2675000000000001,0.329795918367347,0.16750000000000004,0.22693877551020414,0.2,0.3053061224489797
0.3575000000000001,0.43510204081632664,0.36000000000000004,0.46693877551020424,0.3,0.44000000000000006
0.4250000000000001,0.5134693877551021,0.5,0.6261224489795919,0.3675,0.5159183673469389
0.48500000000000004,0.579591836734694,0.6225,0.755918367346939,0.445,0.6065306122448981
0.5625000000000002,0.6628571428571429,0.7775000000000001,0.8955102040816327,0.54,0.7118367346938776
0.6425000000000001,0.7461224489795919,0.9675000000000002,0.9983673469387756,0.6275,0.7975510204081634
0.7150000000000001,0.8146938775510206,1.0,1.0,0.7225000000000001,0.875918367346939
0.7749999999999999,0.8636734693877552,,,0.8,0.9322448979591837
0.835,0.91265306122449,,,0.8800000000000001,0.9738775510204083
0.8925000000000001,0.949387755102041,,,0.9575000000000002,0.9983673469387756
0.9600000000000002,0.9836734693877552,,,1.0,1.0
0.9925000000000002,0.9983673469387756,,,,
1.0,1.0,,,,